strategy,mechanism,count,share_within_strategy,material_saving_share,rebound_share,mean_pct_virgin_use,mean_pct_toaster_service,mean_virgin_saving_per_support_dollar
recycling_support,circular_expansion_material_increase,1030,0.11933727262194416,0.0,0.0,0.02393841901778219,-0.019291831185916368,-0.39058699857470314
recycling_support,demand_contraction_material_saving,213,0.024678484532499132,1.0,0.0,-0.005182887973569805,-0.2237615253501725,0.055362968955166146
recycling_support,rebound_material_saving,8,0.000926891437840343,1.0,1.0,-0.375226870619102,0.4404102644013982,12.388077869913063
recycling_support,rebound_without_material_saving,150,0.01737921445950643,0.0,1.0,0.007190018500086288,0.002872427949735045,-0.16954650234148827
recycling_support,reference,2169,0.251303441084463,0.0,0.0,0.0,0.0,
recycling_support,refurbishment_substitution_material_saving,26,0.0030123971729811147,1.0,0.0,-0.0002883635078576563,-0.0005183695705214431,0.011061012158645077
recycling_support,service_contraction_material_increase,5017,0.5812767929556251,0.0,0.0,0.09679491760880919,-0.08439809141119335,-0.5452845219096708
recycling_support,service_contraction_material_saving,18,0.0020855057351407717,1.0,0.0,-0.0016259829439060043,-0.04309784851978347,0.047145703212171375
refurbishment_support,circular_expansion_material_increase,3673,0.4269937223901418,0.0,0.0,0.1533703828319617,-0.07335284974159766,-0.27463550875278936
refurbishment_support,circular_substitution_with_rebound,407,0.04731457800511509,1.0,1.0,-0.020154938810222713,0.017112013458288878,0.1758211323909655
refurbishment_support,eol_reallocation_material_saving,537,0.062427342478493374,1.0,0.0,-0.024162529191652436,-0.031168397937830942,0.08730205156312883
refurbishment_support,rebound_without_material_saving,507,0.05893978144617531,0.0,1.0,0.029052600577474733,0.010308148858185342,-0.16165347077970008
refurbishment_support,reference,2169,0.25215066263659613,0.0,0.0,0.0,0.0,
refurbishment_support,refurbishment_substitution_material_saving,1308,0.15205766100906765,1.0,0.0,-0.025479039458512022,-0.018496600734526015,0.09179264777869085
refurbishment_support,service_contraction_material_saving,1,0.00011625203441060219,1.0,0.0,-0.009377143964790464,-0.1975334402945955,0.021480519254993877
virgin_material_tax,circular_expansion_material_increase,1458,0.16880861410211878,0.0,0.0,0.12266614505553408,-0.03350245063401112,
virgin_material_tax,demand_contraction_material_saving,1170,0.13546370267453978,1.0,0.0,-0.06092529020570821,-0.1242792207708069,
virgin_material_tax,rebound_material_saving,9,0.0010420284821118443,1.0,1.0,-0.34761750272232694,0.461459293153838,
virgin_material_tax,reference,2169,0.25112886418895447,0.0,0.0,0.0,0.0,
virgin_material_tax,refurbishment_substitution_material_saving,624,0.07224730809308788,1.0,0.0,-0.049382420490229784,-0.07244206085019092,
virgin_material_tax,service_contraction_material_increase,2889,0.33449114275790204,0.0,0.0,0.09447649225038958,-0.045120848168143386,
virgin_material_tax,service_contraction_material_saving,318,0.03681833970128517,1.0,0.0,-0.044750127909259536,-0.11057725777480937,
