strategy,mechanism,transmission,count,share_within_strategy,mean_pct_virgin_use,mean_pct_toaster_service,mean_upstream_output_reduction_m,mean_circular_activity_gain_c
recycling_support,circular_expansion_material_increase,upstream_expansion,554,0.06371477860839563,0.0002918370010158303,-0.018348674186456693,-0.011625658075182408,-3.0594802653442135
recycling_support,demand_contraction_material_saving,upstream_contraction_with_service_contraction,1609,0.18504887866589995,-0.013998690749029735,-0.06416649136418934,0.5544243985687457,-9.876332120141942
recycling_support,reference,reference,2178,0.25048878665899943,0.0,0.0,-0.0,0.0
recycling_support,refurbishment_substitution_material_saving,upstream_contraction_with_circular_expansion,142,0.01633122484186314,-0.0020314714132225738,-0.007609568508991006,0.08125885511679673,0.9895593720028962
recycling_support,refurbishment_substitution_material_saving,upstream_contraction_with_service_contraction,30,0.0034502587694077054,-0.0036748978001657534,-0.03463897195344213,0.14699590677249433,-4.961654046098833
recycling_support,service_contraction_material_increase,upstream_expansion,1564,0.1798734905117884,0.0005262922396133961,-0.14899340122086344,-0.020945510183096143,-34.28035591200894
recycling_support,service_contraction_material_saving,upstream_contraction_with_service_contraction,2288,0.263139735480161,-0.008720205883571319,-0.08996118315643828,0.34687990986388056,-18.51637534048318
recycling_support,service_contraction_without_material_saving,no_upstream_change,330,0.03795284646348476,9.650965238603527e-11,-0.021151804554761927,-3.860386154849149e-9,-5.0211723466417775
refurbishment_support,circular_expansion_material_increase,upstream_expansion,3318,0.38159861989649224,0.003388194868623353,-0.1438971635572699,-0.13357786408337485,-15.791864499973936
refurbishment_support,circular_substitution_with_rebound,upstream_contraction_with_circular_expansion,470,0.05405405405405406,-0.005502508567996564,0.00734382554885161,0.21765299753279987,3.932903027362709
refurbishment_support,eol_reallocation_material_saving,upstream_contraction_with_service_contraction,680,0.078205865439908,-0.028549054532348888,-0.03875343116508658,1.1419621474898731,-4.801301502989947
refurbishment_support,rebound_without_material_saving,no_upstream_change,18,0.0020701552616446232,-1.4891393765156595e-10,0.0014985604309081537,5.956555545102067e-9,0.7099472559480312
refurbishment_support,rebound_without_material_saving,upstream_expansion_with_rebound,265,0.030477285796434734,0.010643003463262454,0.00849999307624502,-0.41683563124924716,3.621307058642945
refurbishment_support,reference,reference,2178,0.25048878665899943,0.0,0.0,-0.0,0.0
refurbishment_support,refurbishment_substitution_material_saving,upstream_contraction_with_circular_expansion,1126,0.1294997124784359,-0.01317540455014096,-0.012605128758980455,0.5250126706131911,2.485237306655869
refurbishment_support,refurbishment_substitution_material_saving,upstream_contraction_with_service_contraction,630,0.07245543415756182,-0.009663751005822044,-0.07531291082177609,0.3851548545654696,-6.316959249993923
refurbishment_support,service_contraction_material_saving,upstream_contraction_with_service_contraction,1,0.00011500862564692352,-0.052563699010487665,-0.24213892838897802,2.07018145809959,-23.585852103412414
refurbishment_support,service_contraction_without_material_saving,no_upstream_change,9,0.0010350776308223116,2.2163604202404715e-11,-0.185985749713673,-8.86544171407877e-10,-18.885711621710946
virgin_material_tax,circular_expansion_material_increase,upstream_expansion,474,0.05459571527297857,0.008871060433530092,-0.02594444684909545,-0.3484192240771467,0.004970832998690622
virgin_material_tax,demand_contraction_material_saving,upstream_contraction_with_circular_expansion,423,0.048721492743607465,-5.14975502712158e-7,-0.02180240980168026,2.0599020072377354e-5,0.05497359096674027
virgin_material_tax,demand_contraction_material_saving,upstream_contraction_with_service_contraction,2436,0.2805805114029026,-0.048026894209054746,-0.083346525467974,1.903673750560262,-8.014353993198794
virgin_material_tax,no_material_saving,reference,6,0.000691085003455425,1.554069758584966e-10,2.4824234893529948e-11,-6.216279047066564e-9,6.216179571083558e-9
virgin_material_tax,rebound_without_material_saving,no_upstream_change,93,0.010711817553559088,1.5150623087781987e-10,3.2687100754501126e-10,-6.060249936288e-9,3.087450576203772e-8
virgin_material_tax,rebound_without_material_saving,upstream_expansion_with_rebound,57,0.0065653075328265375,9.362243722749205e-9,1.9598868370658468e-8,-3.744897485914503e-7,1.779025871927406e-6
virgin_material_tax,reference,reference,2178,0.2508638562543193,0.0,0.0,-0.0,0.0
virgin_material_tax,refurbishment_substitution_material_saving,upstream_contraction_with_circular_expansion,318,0.036627505183137524,-0.005004250938311464,-0.01636908072588939,0.200170033501094,0.7049569391040134
virgin_material_tax,refurbishment_substitution_material_saving,upstream_contraction_with_service_contraction,816,0.09398756046993781,-0.003466598351957909,-0.046339296108428615,0.13853964915080477,-3.39872560767083
virgin_material_tax,service_contraction_material_increase,upstream_expansion,918,0.10573600552868002,0.007436968200212978,-0.04621462056326524,-0.29353816791706666,-1.9122292389369282
virgin_material_tax,service_contraction_material_saving,upstream_contraction_with_service_contraction,939,0.10815480304077402,-0.11833308453175939,-0.1410118170681274,4.707327576762156,-15.12744569522278
virgin_material_tax,service_contraction_without_material_saving,no_upstream_change,24,0.0027643400138217,1.76764268453958e-10,-0.0017099751096332303,-7.07057257187671e-9,-0.6162053112142598
