parameter,level,count,dominant_support_strategy,dominant_count,dominant_share,refurbishment_count,recycling_count,mean_virgin_saving_per_support_dollar,mean_service_loss_per_support_dollar,mean_upstream_output_reduction_m,mean_circular_activity_gain_c
sigma_routes,1.25,581,recycling_support,453,0.7796901893287436,128,453,0.15617649949702878,2.980715200710028,0.7622011904459295,-9.554405526131166
sigma_routes,2.0,610,recycling_support,318,0.521311475409836,292,318,0.07728700146562392,1.9371883166521673,0.5264119107065162,-6.040785479755655
sigma_routes,3.0,544,refurbishment_support,360,0.6617647058823529,360,184,0.04933195578843346,1.2717918797304704,0.5219285901964026,-3.970961046528318
sigma_metal,1.25,591,recycling_support,308,0.5211505922165821,283,308,0.09463358125908652,2.030957182624931,0.5806749477759932,-6.3984772381574135
sigma_metal,2.0,581,recycling_support,330,0.5679862306368331,251,330,0.09391109354498793,2.139589423353408,0.6239311612793009,-6.7938888082561215
sigma_metal,3.0,563,recycling_support,317,0.5630550621669627,246,317,0.09632221878677445,2.063833103808277,0.6078089012575795,-6.514106780278374
sigma_eol,0.5,726,refurbishment_support,580,0.7988980716253443,580,146,0.08822499116693353,0.5776294830085615,1.0015347182136443,-1.7416737256654298
sigma_eol,2.0,553,recycling_support,461,0.833634719710669,92,461,0.07423955880038371,2.401870850082049,0.3361205882885966,-11.239635131579847
sigma_eol,4.0,456,recycling_support,348,0.7631578947368421,108,348,0.13073329264672412,4.073994742509069,0.2958123234653583,-8.588197829052202
eta_service,0.5,465,refurbishment_support,387,0.832258064516129,387,78,0.046224848240245635,0.7801944497370373,0.5995500099984592,0.40289035056450495
eta_service,1.0,586,recycling_support,341,0.5819112627986348,245,341,0.08572584045048837,2.1412157320001732,0.5399379022860655,-6.954717141668725
eta_service,1.5,684,recycling_support,536,0.783625730994152,148,536,0.135950737010251,2.906129165590498,0.6618200948216156,-10.976712471694716
metal_quality,0.75,574,recycling_support,317,0.5522648083623694,257,317,0.09562163100686284,2.1210582471477357,0.6081005960724496,-6.6252293913374505
metal_quality,0.85,573,recycling_support,314,0.5479930191972077,259,314,0.09565229235900773,2.0547891096874644,0.6079867889468488,-6.541604362477661
metal_quality,0.95,588,recycling_support,324,0.5510204081632653,264,324,0.09357928797799557,2.058594546989808,0.5960087381543754,-6.539065633192462
metal_intensity_ref,0.15,556,recycling_support,309,0.5557553956834532,247,309,0.1069310214145074,2.3228538205122065,0.6420587405592579,-7.4270029173897685
metal_intensity_ref,0.25,580,recycling_support,331,0.5706896551724138,249,331,0.1037217832940572,2.2526774022939455,0.563522881410834,-6.587347037578154
metal_intensity_ref,0.35,599,recycling_support,315,0.5258764607679466,284,315,0.07530537367895297,1.6815952751393133,0.6077652408642272,-5.753116291787183
yield_ref,3.0,619,recycling_support,318,0.5137318255250404,301,318,0.08134752031001291,1.9479956252090311,0.5501197392943418,-2.1733537960221407
yield_ref,4.0,567,recycling_support,339,0.5978835978835979,228,339,0.11914708955945053,2.473996593190984,0.5827630828250743,-7.473879872515769
yield_ref,5.0,549,recycling_support,298,0.5428051001821493,251,298,0.08526354498835276,1.815609885245986,0.6865729028449701,-10.58869886191333
