metric,value,count,share
parameter_groups,2187.0,2187,
comparison_rows,26072.0,26072,
material_saving_rows,11908.0,11908,0.4567351948450445
material_saving_without_rebound,11438.0,11438,0.43870819269714634
rebound_rows,903.0,903,0.034634857318195766
threshold_rows,4310.0,4310,
support_efficiency_groups,1735.0,1735,
virgin_material_tax_comparison_rows,8682.0,8682,
virgin_material_tax_material_saving_rows,4932.0,4932,0.5680718728403593
virgin_material_tax_threshold_rows,1773.0,1773,
refurbishment_support_comparison_rows,8695.0,8695,
refurbishment_support_material_saving_rows,2907.0,2907,0.33433007475560667
refurbishment_support_threshold_rows,1028.0,1028,
recycling_support_comparison_rows,8695.0,8695,
recycling_support_material_saving_rows,4069.0,4069,0.4679700977573318
recycling_support_threshold_rows,1509.0,1509,
transmission_no_upstream_change,474.0,474,0.018180423442773857
transmission_reference,6540.0,6540,0.2508438171218165
transmission_upstream_contraction_with_circular_expansion,2479.0,2479,0.09508284749923289
transmission_upstream_contraction_with_service_contraction,9429.0,9429,0.3616523473458116
transmission_upstream_expansion,6828.0,6828,0.261890150352869
transmission_upstream_expansion_with_rebound,322.0,322,0.012350414237496164
